蛋 egg

梨 pear
油 oil

act 行为，举动
art 艺术；美术；艺术品
饼干 biscuit

草莓 strawberry






橙子 orange
蛋糕 cake
汉堡 hamburger



dance 舞蹈
group 组
黄油 butter
火腿 ham

鸡肉 chicken
饺子 dumpling
米饭 rice
advertisement 广告
e-mail 电子邮件
面包 bread

面条 noodle
奶酪 cheese
牛肉 beef
苹果 apple


葡萄 grape
programme (美program) 节目单；（电脑）程序
window 窗户；计算机的窗口
水果 fruit
西瓜 watermelon
馅饼 pie
香肠 sausage
香蕉 banana
猪肉 pork
beat (音乐)节拍

drum 鼓
film 电影，胶卷
news 消息；新闻
肉 meat
糖 sugar
盐 salt


role 角色
song 歌曲
tale 故事，传说；童话
notice 通知，布告


三明治 sandwich
巧克力 chocolate
guitar 吉他
website 网站，网点

interview 采访
violin 小提琴
糖果 candy
土豆 potato





concert 音乐会
movie 电影
music 音乐
party 晚会

沙拉 salad
食物 food
蔬菜 vegetable


piano 钢琴
story 故事
卷心菜 cabbage


composition 作曲
cinema 电影院


西红柿 tomato



piano 钢琴
story 故事
卷心菜 cabbage


composition 作曲
cinema 电影院


西红柿 tomato







